"No.","Plan date","Pattern","Supplier","Action","Status","ItemType","ItemCode","ItemQTY","Plan start","Plan finish","Actual start","Actual finish","User","Note","Created date","Updated date"
"1","2023-12-04","Local","SHENGLI","Normal","","Rubber","V000137","1"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:08"," 21:15:08"
"2","2023-12-04","Local","VINA UNION","Normal","","PCBA","V000006","9"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:08"," 21:15:08"
"3","2023-12-04","Local","SHENGFANG","Normal","","Casting","V000003","5"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:07"," 21:15:07"
"4","2023-12-04","Local","GL TECH","Normal","","Others","V000117","11"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:07"," 21:15:07"
"5","2023-12-04","Local","CNC","Normal","","Printed/Packing","V000008","3"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:07"," 21:15:07"
"6","2023-12-04","Local","AMA","Normal","","Casting","V000195","2"," 14:10:00"," 14:10:00","-","-","v001160",""," 21:15:06"," 21:15:06"
"7","2023-12-04","Local","TK VN","Normal","","Packing","V000428","1"," 13:00:00"," 13:00:00","-","-","v001160",""," 21:15:06"," 21:15:06"
"8","2023-12-04","Local","CNC","Normal","","Printed/Packing","V000008","4"," 10:10:00"," 10:10:00","-","-","v001160",""," 21:15:05"," 21:15:05"
"9","2023-12-04","Local","DK VINA","Normal","","Stamping/Plastics","V000115","10"," 10:00:00"," 10:00:00","-","-","v001160",""," 21:15:05"," 21:15:05"
"10","2023-12-04","Local","TIP","Normal","","Blister","V000005","4"," 09:00:00"," 09:00:00","-","-","v001160",""," 21:15:05"," 21:15:05"
"11","2023-12-04","Local","VIDACO","Normal","","Box","V000007","9"," 08:00:00"," 08:00:00","-","-","v001160",""," 21:15:04"," 21:15:04"
"1","2023-12-03","Local","KKL","Add","done","Screw","V000009","2"," 10:10:00"," 10:10:00"," 10:18:21"," 10:19:29","v001163",""," 08:09:25"," 10:21:00"
"2","2023-12-03","Oversea","JINJIAN","Normal","done","Plastics","V000231","11"," 15:00:00"," 15:00:00"," 14:21:07"," 14:54:52","v001163",""," 21:31:32"," 14:56:23"
"3","2023-12-03","Oversea","HANIL","Normal","done","Stamping","V000223","5"," 15:00:00"," 15:00:00"," 14:21:00"," 14:39:16","v001163",""," 21:31:31"," 14:40:48"
"4","2023-12-03","Oversea","SUNRISE","Normal","early","Packing","V000294","8"," 13:00:00"," 13:00:00"," 12:52:19"," 12:53:06","V000554",""," 21:31:31"," 12:54:25"
"5","2023-12-03","Oversea","DK KUNSHAN","Normal","done","Motor module","V000130","13"," 15:00:00"," 15:00:00"," 14:20:03"," 14:32:18","v001163",""," 21:31:30"," 14:33:50"
"6","2023-12-03","Local","VINA UNION","Normal","","PCBA","V000006","7"," 14:10:00"," 14:10:00"," 14:10:52","-","V000712",""," 21:31:30"," 14:13:01"
"7","2023-12-03","Local","CNC","Cut","","Printed/Packing","V000008","2"," 14:10:00"," 14:10:00"," 11:13:00"," 11:13:00","v001160","PUR cut không giao hàng chuyến 2"," 21:31:29"," 11:13:51"
"8","2023-12-03","Local","MOKA","Normal","early","Others","V000271","1"," 13:00:00"," 13:00:00"," 15:33:55"," 15:39:49","v001163",""," 21:31:29"," 15:41:20"
"9","2023-12-03","Local","TOP VINA","Normal","done","PCBA","V000249","1"," 13:00:00"," 13:00:00"," 13:36:03"," 13:43:41","V000712",""," 21:31:28"," 13:45:50"
"10","2023-12-03","Local","SME","Cut","","Rubber","V000194","3"," 10:10:00"," 10:10:00"," 17:04:00"," 17:04:00","v001160","Không giao hàng"," 21:31:28"," 17:04:28"
"11","2023-12-03","Local","CNC","Normal","done","Printed/Packing","V000008","2"," 10:10:00"," 10:10:00"," 10:18:29"," 10:27:21","v001163",""," 21:31:27"," 10:28:53"
"12","2023-12-03","Local","DK VINA","Normal","done","Stamping/Plastics","V000115","9"," 10:00:00"," 10:00:00"," 10:27:59"," 10:41:37","v001163",""," 21:31:27"," 10:43:11"
"13","2023-12-03","Local","TIP","Normal","done","Blister","V000005","2"," 09:00:00"," 09:00:00"," 09:10:15"," 09:17:47","v001163",""," 21:31:27"," 09:19:18"
"14","2023-12-03","Local","VIDACO","Normal","done","Box","V000007","7"," 08:00:00"," 08:00:00"," 08:14:57"," 08:35:50","v001163",""," 21:31:26"," 08:37:21"
"1","2023-12-01","Local","SHENGFANG","Add","early","Casting","V000003","6"," 14:10:00"," 14:10:00"," 16:12:25"," 16:19:54","v001160",""," 12:57:07"," 16:21:25"
"2","2023-12-01","Local","VINA UNION","Normal","early","PCBA","V000006","9"," 14:10:00"," 14:10:00"," 14:23:59"," 14:33:46","V000712",""," 20:49:02"," 14:35:52"
"3","2023-12-01","Local","CHEYE","Normal","done","Spring","V000116","3"," 14:10:00"," 14:10:00"," 13:29:33"," 13:33:33","v001160",""," 20:49:01"," 13:35:04"
"4","2023-12-01","Local","VIVA","Normal","done","Screw","V000218","11"," 14:10:00"," 14:10:00"," 14:20:58"," 14:42:44","v001160",""," 20:49:01"," 14:44:15"
"5","2023-12-01","Local","CNC","Cut","","Printed/Packing","V000008","3"," 14:10:00"," 14:10:00"," 14:42:00"," 14:42:00","v001160","PUR cut KH không giao chuyến 2"," 20:49:00"," 14:42:41"
"6","2023-12-01","Local","KKL","Normal","early","Screw","V000009","13"," 10:10:00"," 10:10:00"," 10:26:08"," 10:52:51","v001160",""," 20:49:00"," 10:54:22"
"7","2023-12-01","Local","CNC","Normal","early","Printed/Packing","V000008","3"," 10:10:00"," 10:10:00"," 10:19:59"," 10:22:55","v001160",""," 20:48:59"," 10:24:26"
"8","2023-12-01","Local","DK VINA","Normal","delay","Stamping/Plastics","V000115","10"," 10:00:00"," 10:00:00"," 13:29:40"," 13:40:40","v001160",""," 20:48:58"," 13:42:10"
"9","2023-12-01","Local","TIP","Normal","done","Blister","V000005","2"," 09:00:00"," 09:00:00"," 08:26:03"," 10:19:53","v001160",""," 20:48:57"," 10:21:24"
"10","2023-12-01","Local","VIDACO","Normal","early","Box","V000007","6"," 08:00:00"," 08:00:00"," 08:01:54"," 08:18:36","v001160",""," 20:48:57"," 08:20:07"
